     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 06:00:19        8.969162       1.0657       0.0093       1.6000       1.0000
Sella   1 06:00:21       11.886074       8.2822       0.2200       0.7543      -1.4350
Sella   2 06:00:22        8.312268       0.5080       0.1242       0.7543       0.7569
Sella   3 06:00:23        8.564549       0.3288       0.0041       0.1336      -0.9072
Sella   4 06:00:24        8.536151       0.1887       0.0010       0.1336       1.2331
Sella   5 06:00:25        8.527309       0.1446       0.0006       0.1336       0.9204
Sella   6 06:00:25        8.529264       0.1354       0.0003       0.0342      -0.4238
Sella   7 06:00:26        8.531037       0.1271       0.0002       0.0307      -0.3518
Sella   8 06:00:27        8.536044       0.1049       0.0002       0.0277      -1.2047
Sella   9 06:00:28        8.539007       0.0858       0.0001       0.0249      -0.7336
Sella  10 06:00:29        8.541268       0.0719       0.0001       0.0224      -0.7682
Sella  11 06:00:30        8.542683       0.0597       0.0001       0.0202      -0.6529
Sella  12 06:00:31        8.544249       0.0485       0.0001       0.0182      -0.9643
Sella  13 06:00:32        8.546115       0.0383       0.0001       0.0163      -1.5583
Sella  14 06:00:33        8.548672       0.0291       0.0001       0.0147      -2.9641
Sella  15 06:00:34        8.551868       0.0210       0.0000       0.0132      -5.3309
Sella  16 06:00:34        8.555767       0.0140       0.0000       0.0119      -9.8514
Sella  17 06:00:35        8.560279       0.0114       0.0000       0.0107     -18.7223
Sella  18 06:00:36        8.565415       0.0090       0.0000       0.0096     -40.7561
Sella  19 06:00:37        8.571155       0.0067       0.0000       0.0087    -130.6789
Sella  20 06:00:38        8.575626       0.0052       0.0000       0.0050     155.1497
Sella  21 06:00:39        8.579055       0.0052       0.0000       0.0026     900.0858
Sella  22 06:00:40        8.582490       0.0041       0.0000       0.0023    -181.9839
Sella  23 06:00:41        8.585258       0.0027       0.0000       0.0021    -167.3816
Sella  24 06:00:41        8.587785       0.0020       0.0000       0.0019    -299.1611
Sella  25 06:00:42        8.590193       0.0014       0.0000       0.0017    -605.3351
Sella  26 06:00:43        8.592505       0.0008       0.0000       0.0015   -1949.1697
Sella  27 06:00:44        8.594243       0.0004       0.0000       0.0011    3635.7388
Sella  28 06:00:45        8.594447       0.0004       0.0000       0.0002    1921.9163
Sella  29 06:00:46        8.594571       0.0003       0.0000       0.0001   -2098.9279
Sella  30 06:00:46        8.594636       0.0002       0.0000       0.0001   -1260.1592
Sella  31 06:00:47        8.594691       0.0002       0.0000       0.0001   -1446.2963
Sella  32 06:00:48        8.594744       0.0001       0.0000       0.0001   -1824.9159
Sella  33 06:00:49        8.594795       0.0001       0.0000       0.0001   -2300.4530
Sella  34 06:00:50        8.594848       0.0001       0.0000       0.0001   -3152.2950
