     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 10:46:33       22.164025       1.1124       0.0183       1.7000       1.0000
Sella   1 10:46:35       24.080816       2.5820       0.1613       0.7291      -1.2288
Sella   2 10:46:35       22.957107       1.3931       0.1759       0.7291       0.6617
Sella   3 10:46:36       22.939138       2.3188       0.1835       0.7291       0.0277
Sella   4 10:46:37       21.555195       1.0146       0.0790       0.7291       0.8089
Sella   5 10:46:38       21.918246       0.6414       0.0167       0.2237      -0.8400
Sella   6 10:46:39       21.675295       0.3583       0.0046       0.2237       2.4220
Sella   7 10:46:40       21.479820       0.2228       0.0011       0.2237      12.1798
Sella   8 10:46:41       21.551589       0.0629       0.0005       0.0325      -9.9530
Sella   9 10:46:42       21.475400       0.0523       0.0000       0.0325      55.6531
Sella  10 10:46:42       21.434206       0.0243       0.0000       0.0097     110.8599
Sella  11 10:46:43       21.395693       0.0173       0.0000       0.0087     127.4104
Sella  12 10:46:44       21.358136       0.0116       0.0000       0.0079     212.7115
Sella  13 10:46:45       21.317976       0.0073       0.0000       0.0071     442.2717
Sella  14 10:46:46       21.278982       0.0041       0.0000       0.0064    1176.4734
Sella  15 10:46:47       21.256092       0.0038       0.0000       0.0035    1872.9816
Sella  16 10:46:48       21.237773       0.0025       0.0000       0.0031    1632.0924
Sella  17 10:46:49       21.224293       0.0013       0.0000       0.0028    2026.2533
Sella  18 10:46:50       21.223425       0.0007       0.0000       0.0007    6369.8479
Sella  19 10:46:51       21.224452       0.0003       0.0000       0.0004   -5647.8958
Sella  20 10:46:51       21.224490       0.0003       0.0000       0.0002    -570.9048
Sella  21 10:46:52       21.223953       0.0003       0.0000       0.0001   10882.9325
Sella  22 10:46:53       21.223320       0.0002       0.0000       0.0001   13864.0729
Sella  23 10:46:54       21.222737       0.0002       0.0000       0.0001   16504.2673
Sella  24 10:46:55       21.222216       0.0001       0.0000       0.0001   22079.3417
Sella  25 10:46:56       21.221740       0.0001       0.0000       0.0001   29850.7134
