     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 06:00:19        8.969162       1.1687       0.0528       1.6000       1.0000
Sella   1 06:00:20       11.352511       5.8919       0.2157       0.7749      -1.0188
Sella   2 06:00:21        8.155500       0.7469       0.1158       0.7749       0.7674
Sella   3 06:00:22        8.414401       0.4913       0.0041       0.1532      -1.3197
Sella   4 06:00:23        8.348106       0.2628       0.0011       0.1532       3.1655
Sella   5 06:00:24        8.311018       0.1980       0.0006       0.1532       3.7005
Sella   6 06:00:25        8.258779       0.1853       0.0014       0.1532       2.7562
Sella   7 06:00:26        8.231489       0.2688       0.0008       0.1532       4.9068
Sella   8 06:00:26        8.155604       0.1737       0.0036       0.1532       2.2642
Sella   9 06:00:27        8.117723       0.1158       0.0023       0.1532       6.7060
Sella  10 06:00:28        8.138339       0.0715       0.0001       0.1532       2.2345
Sella  11 06:00:29        8.161466       0.0451       0.0004       0.0419      -7.3431
Sella  12 06:00:30        8.192354       0.0392       0.0001       0.0229    -222.8850
Sella  13 06:00:31        8.215861       0.0329       0.0000       0.0166     -41.9120
Sella  14 06:00:32        8.230074       0.0267       0.0000       0.0149     -35.3712
Sella  15 06:00:33        8.232737       0.0184       0.0000       0.0122     -10.5789
Sella  16 06:00:34        8.230336       0.0145       0.0000       0.0122      32.8160
Sella  17 06:00:34        8.230100       0.0134       0.0000       0.0122       3.2306
Sella  18 06:00:35        8.234212       0.0075       0.0000       0.0054    -467.5742
Sella  19 06:00:36        8.238060       0.0059       0.0000       0.0030     509.0181
Sella  20 06:00:37        8.240780       0.0049       0.0000       0.0027    -201.2524
Sella  21 06:00:38        8.242016       0.0036       0.0000       0.0024     -90.3252
Sella  22 06:00:39        8.242513       0.0019       0.0000       0.0022     -64.5390
Sella  23 06:00:40        8.242785       0.0011       0.0000       0.0020    -100.9453
Sella  24 06:00:41        8.242608       0.0010       0.0000       0.0004     681.6312
Sella  25 06:00:41        8.242135       0.0008       0.0000       0.0004     918.8198
Sella  26 06:00:42        8.241759       0.0007       0.0000       0.0003     723.5865
Sella  27 06:00:43        8.241398       0.0006       0.0000       0.0003    1015.5746
Sella  28 06:00:44        8.241064       0.0005       0.0000       0.0003    1393.0501
Sella  29 06:00:45        8.240759       0.0004       0.0000       0.0002    1996.5736
Sella  30 06:00:46        8.240478       0.0002       0.0000       0.0002    3194.7947
Sella  31 06:00:47        8.240217       0.0001       0.0000       0.0002    5934.1404
Sella  32 06:00:47        8.239979       0.0001       0.0000       0.0002   15560.7932
