     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 10:24:37        7.758325       1.3352       0.6412       1.7000       1.0000
Sella   1 10:24:40       10.753901       5.2594       0.3166       0.9900      -1.5104
Sella   2 10:24:41        8.450557       2.0979       0.1153       0.9900       0.8359
Sella   3 10:24:42        7.650911       1.0271       0.0173       0.9900       0.8929
Sella   4 10:24:44        7.202392       0.6134       0.0103       0.9900       1.9947
Sella   5 10:24:45        6.748619       0.6203       0.0121       0.9900       2.4488
Sella   6 10:24:47        6.328191       0.5602       0.0202       0.9900       1.7985
Sella   7 10:24:48        6.081172       0.5028       0.0421       0.9900       0.9060
Sella   8 10:24:49        6.250034       0.3269       0.0017       0.0835      -5.0593
Sella   9 10:24:51        6.346969       0.1957       0.0014       0.0751      -2.4495
Sella  10 10:24:52        6.438583       0.1550       0.0017       0.0676      -5.3500
Sella  11 10:24:54        6.529726       0.1437       0.0017       0.0608      -5.7135
Sella  12 10:24:55        6.607263       0.1313       0.0014       0.0548      -6.9489
Sella  13 10:24:56        6.665789       0.1157       0.0013       0.0493      -5.9728
Sella  14 10:24:58        6.701978       0.1024       0.0011       0.0444      -4.0500
Sella  15 10:24:59        6.725948       0.0928       0.0009       0.0399      -3.1569
Sella  16 10:25:01        6.747561       0.0846       0.0007       0.0359      -3.4429
Sella  17 10:25:02        6.768367       0.0857       0.0005       0.0323      -3.9114
Sella  18 10:25:03        6.788176       0.0867       0.0004       0.0291      -4.2717
Sella  19 10:25:04        6.806109       0.0847       0.0002       0.0262      -4.3315
Sella  20 10:25:06        6.821454       0.0822       0.0002       0.0236      -4.2827
Sella  21 10:25:07        6.834655       0.0794       0.0001       0.0212      -4.2303
Sella  22 10:25:08        6.845826       0.0769       0.0001       0.0191      -4.1133
Sella  23 10:25:10        6.855246       0.0745       0.0001       0.0172      -3.9810
Sella  24 10:25:11        6.863207       0.0723       0.0001       0.0155      -3.8547
Sella  25 10:25:12        6.870016       0.0702       0.0000       0.0139      -3.7696
Sella  26 10:25:14        6.875917       0.0684       0.0000       0.0125      -3.7284
