     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 08:08:51       14.317289       0.9393       0.3583       1.7000       1.0000
Sella   1 08:08:53       16.653690       4.8112       0.2417       0.8045      -1.3738
Sella   2 08:08:53       14.169754       1.0187       0.1862       0.8045       0.8299
Sella   3 08:08:54       13.475908       0.5447       0.0213       0.8045       0.8539
Sella   4 08:08:55       13.350307       0.3894       0.0043       0.8045       1.8800
Sella   5 08:08:56       13.110215       0.1614       0.0012       0.8045       9.1061
Sella   6 08:08:57       13.042443       0.0606       0.0002       0.8045      19.0796
Sella   7 08:08:58       13.021934       0.0418       0.0001       0.8045      20.9047
Sella   8 08:08:59       13.015847       0.0226       0.0000       0.8045      32.4768
Sella   9 08:08:59       13.009377       0.0219       0.0000       0.8045      16.7156
Sella  10 08:09:00       13.007779       0.0321       0.0000       0.8045      21.8191
Sella  11 08:09:01       12.971851       0.0912       0.0027       0.8045       3.0692
Sella  12 08:09:02       12.829373       0.1496       0.0190       0.8045       2.0984
Sella  13 08:09:03       12.755312       0.2924       0.0595       0.8045       0.3702
Sella  14 08:09:04       12.737624       0.1811       0.0653       0.8045       0.0934
Sella  15 08:09:05       12.857535       0.1256       0.0058       0.8045       4.3288
Sella  16 08:09:06       12.863236       0.0758       0.0002       0.8045       0.3515
Sella  17 08:09:06       12.849539       0.0394       0.0001       0.8045      14.7910
Sella  18 08:09:07       12.861919       0.0515       0.0004       0.0332     -12.2553
Sella  19 08:09:08       12.893726       0.0468       0.0005       0.0299     -38.9045
Sella  20 08:09:09       12.944032       0.0432       0.0005       0.0269     -60.6271
Sella  21 08:09:10       13.005792       0.0490       0.0005       0.0242     -72.0837
Sella  22 08:09:11       13.075895       0.0530       0.0004       0.0218     -63.6728
Sella  23 08:09:12       13.146898       0.0556       0.0003       0.0196     -52.9561
Sella  24 08:09:13       13.213662       0.0578       0.0002       0.0176     -51.6684
Sella  25 08:09:14       13.274888       0.0602       0.0002       0.0159     -51.6137
Sella  26 08:09:14       13.330287       0.0626       0.0001       0.0143     -49.6667
Sella  27 08:09:15       13.380159       0.0650       0.0001       0.0128     -47.4405
Sella  28 08:09:16       13.425091       0.0671       0.0001       0.0116     -45.7628
Sella  29 08:09:17       13.465639       0.0690       0.0001       0.0104     -44.5692
Sella  30 08:09:18       13.502243       0.0706       0.0001       0.0094     -43.6316
Sella  31 08:09:19       13.535274       0.0721       0.0001       0.0084     -42.8326
Sella  32 08:09:20       13.565066       0.0734       0.0000       0.0076     -42.1334
Sella  33 08:09:21       13.591923       0.0745       0.0000       0.0068     -41.5214
Sella  34 08:09:21       13.616128       0.0755       0.0000       0.0061     -40.9880
Sella  35 08:09:22       13.637936       0.0764       0.0000       0.0055     -40.5243
Sella  36 08:09:23       13.657583       0.0772       0.0000       0.0050     -40.1215
Sella  37 08:09:24       13.675279       0.0779       0.0000       0.0045     -39.7711
Sella  38 08:09:25       13.691216       0.0785       0.0000       0.0040     -39.4657
Sella  39 08:09:26       13.705570       0.0791       0.0000       0.0036     -39.1990
Sella  40 08:09:27       13.718495       0.0796       0.0000       0.0033     -38.9655
Sella  41 08:09:28       13.730135       0.0800       0.0000       0.0029     -38.7607
Sella  42 08:09:28       13.740615       0.0804       0.0000       0.0026     -38.5807
Sella  43 08:09:29       13.750051       0.0808       0.0000       0.0024     -38.4220
Sella  44 08:09:30       13.758548       0.0811       0.0000       0.0021     -38.2821
Sella  45 08:09:31       13.766197       0.0814       0.0000       0.0019     -38.1582
Sella  46 08:09:32       13.773084       0.0816       0.0000       0.0017     -38.0485
Sella  47 08:09:33       13.779284       0.0818       0.0000       0.0016     -37.9512
Sella  48 08:09:34       13.784865       0.0820       0.0000       0.0014     -37.8647
Sella  49 08:09:35       13.789890       0.0822       0.0000       0.0013     -37.7878
Sella  50 08:09:35       13.794413       0.0824       0.0000       0.0011     -37.7193
Sella  51 08:09:36       13.798485       0.0825       0.0000       0.0010     -37.6582
Sella  52 08:09:37       13.802150       0.0826       0.0000       0.0009     -37.6037
Sella  53 08:09:38       13.805449       0.0828       0.0000       0.0008     -37.5550
Sella  54 08:09:39       13.808419       0.0829       0.0000       0.0007     -37.5115
Sella  55 08:09:40       13.811092       0.0830       0.0000       0.0007     -37.4726
Sella  56 08:09:41       13.813498       0.0830       0.0000       0.0006     -37.4378
Sella  57 08:09:42       13.815664       0.0831       0.0000       0.0005     -37.4066
Sella  58 08:09:43       13.817613       0.0832       0.0000       0.0005     -37.3786
Sella  59 08:09:44       13.819367       0.0832       0.0000       0.0004     -37.3535
Sella  60 08:09:45       13.820947       0.0833       0.0000       0.0004     -37.3311
Sella  61 08:09:46       13.822368       0.0833       0.0000       0.0004     -37.3110
Sella  62 08:09:47       13.823648       0.0834       0.0000       0.0003     -37.2929
Sella  63 08:09:48       13.824799       0.0834       0.0000       0.0003     -37.2767
Sella  64 08:09:49       13.825835       0.0835       0.0000       0.0003     -37.2622
Sella  65 08:09:50       13.826768       0.0835       0.0000       0.0002     -37.2490
Sella  66 08:09:51       13.827608       0.0835       0.0000       0.0002     -37.2373
Sella  67 08:09:52       13.828363       0.0836       0.0000       0.0002     -37.2268
