     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 07:25:39       11.744555       1.0746       0.1757       1.6000       1.0000
Sella   1 07:25:42       14.425280       7.7333       0.2308       0.7875      -1.1410
Sella   2 07:25:43       11.029795       0.9470       0.1239       0.7875       0.7446
Sella   3 07:25:44       10.967102       0.8354       0.0050       0.7875       0.1678
Sella   4 07:25:45       10.942321       0.3306       0.0017       0.7875       0.7702
Sella   5 07:25:46       10.823178       0.1944       0.0030       0.7875       2.5253
Sella   6 07:25:48       10.772439       0.1571       0.0005       0.7875       7.3165
Sella   7 07:25:49       10.703977       0.1619       0.0007       0.7875       7.7742
Sella   8 07:25:50       10.652675       0.1079       0.0020       0.7875       4.5946
Sella   9 07:25:51       10.664514       0.0851       0.0004       0.7875       7.1683
Sella  10 07:25:53       10.667531       0.0822       0.0000       0.0114      -5.0793
Sella  11 07:25:54       10.666757       0.0623       0.0000       0.0114       0.5509
Sella  12 07:25:55       10.666340       0.0520       0.0000       0.0114       0.3449
Sella  13 07:25:57       10.667256       0.0431       0.0000       0.0102      -0.9593
Sella  14 07:25:58       10.669251       0.0366       0.0000       0.0092      -2.9536
Sella  15 07:25:59       10.672046       0.0310       0.0000       0.0083      -5.4193
Sella  16 07:26:00       10.675071       0.0260       0.0000       0.0075      -7.6223
Sella  17 07:26:02       10.677871       0.0215       0.0000       0.0067      -9.2009
Sella  18 07:26:03       10.680116       0.0174       0.0000       0.0060      -9.7024
Sella  19 07:26:04       10.681677       0.0139       0.0000       0.0054      -8.9128
Sella  20 07:26:06       10.682551       0.0126       0.0000       0.0049      -6.6207
Sella  21 07:26:07       10.682834       0.0115       0.0000       0.0044      -2.8269
Sella  22 07:26:09       10.682659       0.0105       0.0000       0.0044       2.3047
Sella  23 07:26:10       10.682148       0.0094       0.0000       0.0044       7.8022
Sella  24 07:26:11       10.681404       0.0081       0.0000       0.0044      14.0274
Sella  25 07:26:13       10.680526       0.0066       0.0000       0.0044      21.2090
Sella  26 07:26:14       10.679616       0.0050       0.0000       0.0044      30.1180
Sella  27 07:26:15       10.678768       0.0033       0.0000       0.0044      43.3088
Sella  28 07:26:16       10.678075       0.0015       0.0000       0.0044      75.4981
Sella  29 07:26:17       10.677961       0.0013       0.0000       0.0017    -280.2273
Sella  30 07:26:18       10.678136       0.0010       0.0000       0.0006    -450.5841
Sella  31 07:26:20       10.678526       0.0006       0.0000       0.0005    -480.2962
Sella  32 07:26:21       10.679000       0.0005       0.0000       0.0005   -1307.1333
Sella  33 07:26:22       10.679545       0.0004       0.0000       0.0004   -5438.3572
Sella  34 07:26:24       10.679909       0.0003       0.0000       0.0002    4492.2204
Sella  35 07:26:25       10.680291       0.0002       0.0000       0.0002  -31553.5162
Sella  36 07:26:26       10.680624       0.0002       0.0000       0.0002   -9007.4373
Sella  37 07:26:27       10.680863       0.0001       0.0000       0.0001   -6780.2042
Sella  38 07:26:29       10.680984       0.0001       0.0000       0.0001   -8953.8545
