     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 06:00:19        8.969162       1.1044       0.5872       1.6000       1.0000
Sella   1 06:00:22       14.879487       6.1933       0.4256       1.1091      -9.0690
Sella   2 06:00:23       16.144655       9.8471       0.1530       0.6516      -0.4716
Sella   3 06:00:24       14.464864       1.7297       0.0304       0.6516       0.4835
Sella   4 06:00:25       14.766968       1.2020       0.0755       0.3906      -0.4015
Sella   5 06:00:27       17.550207       2.7590       0.1267       0.3516     -14.7463
Sella   6 06:00:28       17.563169       2.7454       0.0574       0.3164      -0.0110
Sella   7 06:00:29       17.218786       2.5943       0.0147       0.3164       0.7175
Sella   8 06:00:30       16.094929       3.4867       0.0153       0.3164       1.5311
Sella   9 06:00:31       14.261626       1.7852       0.0234       0.3164       0.6785
Sella  10 06:00:32       13.862660       1.0667       0.0193       0.3164       0.4018
Sella  11 06:00:33       13.753911       1.2185       0.0260       0.3164       0.4662
Sella  12 06:00:34       13.592334       0.7545       0.0101       0.3164       0.7585
Sella  13 06:00:36       13.770923       0.3672       0.0070       0.1894      -2.1598
Sella  14 06:00:37       14.219837       0.3670       0.0057       0.1705      -6.0578
Sella  15 06:00:38       14.496571       0.2319       0.0053       0.1485      -7.2899
Sella  16 06:00:39       14.653329       0.2386       0.0065       0.1337      -3.6610
Sella  17 06:00:40       14.999213       0.1096       0.0021       0.1102     -21.9467
Sella  18 06:00:41       14.897560       0.0611       0.0005       0.0450     -40.7799
Sella  19 06:00:42       14.844283       0.0729       0.0001       0.0197    2025.8548
Sella  20 06:00:43       14.824438       0.0404       0.0001       0.0197      28.1871
Sella  21 06:00:44       14.832851       0.0188       0.0001       0.0177     -10.3129
Sella  22 06:00:46       14.819627       0.0194       0.0000       0.0116    -102.4494
Sella  23 06:00:47       14.795026       0.0194       0.0000       0.0104     233.9968
Sella  24 06:00:48       14.774319       0.0112       0.0000       0.0094     170.5111
Sella  25 06:00:49       14.749957       0.0067       0.0000       0.0084     330.3058
Sella  26 06:00:50       14.735668       0.0035       0.0000       0.0060    -911.7773
Sella  27 06:00:51       14.736506       0.0027       0.0000       0.0060      16.4639
Sella  28 06:00:52       14.742468       0.0023       0.0000       0.0018   -1840.6230
Sella  29 06:00:53       14.746537       0.0019       0.0000       0.0016   -4337.1389
Sella  30 06:00:54       14.749301       0.0017       0.0000       0.0015   -1215.3247
Sella  31 06:00:56       14.751360       0.0012       0.0000       0.0013    -985.5734
Sella  32 06:00:57       14.753336       0.0012       0.0000       0.0012   -1413.4779
Sella  33 06:00:58       14.755310       0.0008       0.0000       0.0011   -2354.4100
Sella  34 06:00:59       14.757042       0.0003       0.0000       0.0010   -4637.4948
Sella  35 06:01:00       14.757097       0.0002       0.0000       0.0002     152.8200
Sella  36 06:01:01       14.756832       0.0001       0.0000       0.0002    8797.6145
Sella  37 06:01:02       14.756487       0.0001       0.0000       0.0001   39253.4208
