     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 07:25:37       11.744555       1.1080       0.6600       1.6000       1.0000
Sella   1 07:25:39       16.895201       5.0429       0.3647       1.0289      -5.5618
Sella   2 07:25:40       16.569669       4.3452       0.1430       1.0289       0.1317
Sella   3 07:25:41       18.522434       2.5985       0.0366       0.4110      -1.0241
Sella   4 07:25:42       17.757383       3.2700       0.0371       0.4110       0.4447
Sella   5 07:25:43       17.374434       3.1149       0.0247       0.4110       0.4737
Sella   6 07:25:44       16.310554       1.5485       0.0447       0.4110       0.4283
Sella   7 07:25:45       17.053414       0.9099       0.0314       0.3699      -1.1184
Sella   8 07:25:45       18.082467       1.4963       0.0120       0.2177      -7.0518
Sella   9 07:25:46       18.622523       0.4996       0.0090       0.1959      -2.7899
Sella  10 07:25:47       19.635835       0.3517       0.0043       0.1763     -11.7313
Sella  11 07:25:48       20.905319       0.1826       0.0041       0.1587     -22.3525
Sella  12 07:25:49       22.114855       0.1626       0.0029       0.1428     -50.6442
Sella  13 07:25:50       22.807549       0.0982       0.0007       0.0698     656.0414
Sella  14 07:25:50       22.737184       0.0434       0.0001       0.0192     -49.9994
Sella  15 07:25:51       22.727137       0.0324       0.0002       0.0192      12.2102
Sella  16 07:25:52       22.746112       0.0308       0.0001       0.0173     -25.2118
Sella  17 07:25:53       22.785598       0.0245       0.0001       0.0155     -46.5950
Sella  18 07:25:54       22.823784       0.0206       0.0001       0.0140     -67.4800
Sella  19 07:25:55       22.856475       0.0170       0.0000       0.0126     -81.0182
Sella  20 07:25:56       22.891582       0.0126       0.0000       0.0113    -118.1846
Sella  21 07:25:56       22.920378       0.0103       0.0000       0.0102    -141.3375
Sella  22 07:25:57       22.950518       0.0082       0.0000       0.0092    -222.7431
Sella  23 07:25:58       22.975078       0.0066       0.0000       0.0083    -324.0730
Sella  24 07:25:59       23.000702       0.0044       0.0000       0.0074    -625.3612
Sella  25 07:26:00       23.024109       0.0036       0.0000       0.0067   -2359.6358
Sella  26 07:26:01       23.038824       0.0028       0.0000       0.0040    1117.7608
Sella  27 07:26:02       23.042909       0.0022       0.0000       0.0009     968.9644
Sella  28 07:26:02       23.044396       0.0018       0.0000       0.0008    -539.8129
Sella  29 07:26:03       23.045528       0.0015       0.0000       0.0007    -530.8231
Sella  30 07:26:04       23.046731       0.0012       0.0000       0.0006    -918.6569
Sella  31 07:26:05       23.048088       0.0009       0.0000       0.0006   -1556.6450
Sella  32 07:26:06       23.049608       0.0006       0.0000       0.0005   -2714.4222
Sella  33 07:26:07       23.051270       0.0004       0.0000       0.0005   -5071.0018
Sella  34 07:26:07       23.053046       0.0003       0.0000       0.0004  -11209.1814
Sella  35 07:26:08       23.054884       0.0001       0.0000       0.0004  -41627.7352
Sella  36 07:26:09       23.056675       0.0000       0.0000       0.0003  116268.7076
