     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 07:30:07       82.419231       0.8959       0.2347       1.5000       1.0000
Sella   1 07:30:09       85.356482       6.0896       0.1976       0.7347      -8.5918
Sella   2 07:30:10       83.383303       1.5069       0.1138       0.7347       0.5589
Sella   3 07:30:11       83.705548       0.3656       0.0047       0.1682      -2.0801
Sella   4 07:30:11       83.667219       0.3033       0.0009       0.1682       2.5031
Sella   5 07:30:12       83.331846       0.2699       0.0042       0.1682       6.7794
Sella   6 07:30:13       83.404699       0.1200       0.0028       0.1060      -6.8963
Sella   7 07:30:14       83.608203       0.0610       0.0001       0.1060      81.5681
Sella   8 07:30:15       83.616012       0.0560       0.0000       0.0103     -97.2640
Sella   9 07:30:16       83.616533       0.0423       0.0000       0.0093      -0.8594
Sella  10 07:30:17       83.616153       0.0402       0.0000       0.0093       0.6499
Sella  11 07:30:18       83.615463       0.0381       0.0000       0.0093       1.1257
Sella  12 07:30:18       83.614754       0.0386       0.0000       0.0093       1.1863
Sella  13 07:30:19       83.614024       0.0378       0.0000       0.0093       1.1889
Sella  14 07:30:20       83.613401       0.0386       0.0000       0.0107       1.0224
Sella  15 07:30:21       83.612527       0.0382       0.0000       0.0107       1.1897
Sella  16 07:30:22       83.611870       0.0393       0.0000       0.0107       0.9225
Sella  17 07:30:23       83.611142       0.0387       0.0000       0.0123       1.0013
Sella  18 07:30:24       83.610238       0.0401       0.0000       0.0123       1.0543
Sella  19 07:30:25       83.609381       0.0390       0.0000       0.0142       1.0016
Sella  20 07:30:26       83.608348       0.0412       0.0000       0.0163       1.0219
Sella  21 07:30:26       83.606927       0.0393       0.0000       0.0163       1.1604
Sella  22 07:30:27       83.606024       0.0438       0.0000       0.0163       0.7662
Sella  23 07:30:28       83.604729       0.0402       0.0000       0.0187       1.0001
Sella  24 07:30:29       83.603485       0.0473       0.0001       0.0187       0.8089
Sella  25 07:30:30       83.601913       0.0402       0.0001       0.0215       1.0275
Sella  26 07:30:31       83.600420       0.0458       0.0001       0.0215       0.8642
Sella  27 07:30:32       83.598678       0.0399       0.0001       0.0215       1.0508
Sella  28 07:30:33       83.597393       0.0435       0.0001       0.0215       0.8043
Sella  29 07:30:34       83.595716       0.0397       0.0001       0.0215       1.0407
