     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 06:29:36       82.420175       0.9311       0.3677       1.5000       1.0000
Sella   1 06:29:38       83.579108       6.0567       0.2376       0.7583      -0.6098
Sella   2 06:29:39       79.994082       0.9765       0.0957       0.7583       0.6819
Sella   3 06:29:40       82.091979       0.5061       0.0059       0.1507     -88.8223
Sella   4 06:29:41       82.199364       0.3462       0.0013       0.0626      -5.7318
Sella   5 06:29:42       82.154369       0.2650       0.0010       0.0626       1.6632
Sella   6 06:29:43       82.135896       0.1752       0.0008       0.0626       0.9139
Sella   7 06:29:44       82.137135       0.0866       0.0007       0.0564      -0.1080
Sella   8 06:29:45       82.139450       0.1094       0.0005       0.0507      -0.6702
Sella   9 06:29:46       82.134774       0.1124       0.0002       0.0507      12.0183
Sella  10 06:29:46       82.006495       0.0509       0.0015       0.0507      19.9710
Sella  11 06:29:47       82.024407       0.0409       0.0013       0.0456      -6.9381
Sella  12 06:29:48       82.119498       0.0271       0.0002       0.0242     174.9026
Sella  13 06:29:49       82.140386       0.0178       0.0000       0.0242      87.3603
Sella  14 06:29:50       82.139724       0.0201       0.0001       0.0242       1.0649
Sella  15 06:29:51       82.139920       0.0249       0.0000       0.0144      -2.4431
Sella  16 06:29:52       82.139324       0.0211       0.0000       0.0144       2.0632
Sella  17 06:29:53       82.138202       0.0153       0.0000       0.0144       2.8710
Sella  18 06:29:54       82.137826       0.0117       0.0000       0.0144       1.2168
Sella  19 06:29:54       82.137990       0.0116       0.0000       0.0130      -0.6477
Sella  20 06:29:55       82.138259       0.0110       0.0000       0.0117      -1.5195
Sella  21 06:29:56       82.138232       0.0107       0.0000       0.0117       0.1648
Sella  22 06:29:57       82.138052       0.0104       0.0000       0.0117       0.9092
Sella  23 06:29:58       82.137856       0.0101       0.0000       0.0134       1.0117
Sella  24 06:29:59       82.137577       0.0098       0.0000       0.0134       1.0452
Sella  25 06:30:00       82.137346       0.0094       0.0000       0.0134       1.1009
Sella  26 06:30:01       82.137114       0.0089       0.0000       0.0134       1.1440
Sella  27 06:30:01       82.136887       0.0083       0.0000       0.0134       1.1685
Sella  28 06:30:02       82.136670       0.0076       0.0000       0.0134       1.1802
Sella  29 06:30:03       82.136464       0.0068       0.0000       0.0134       1.1929
Sella  30 06:30:04       82.136270       0.0061       0.0000       0.0134       1.2078
Sella  31 06:30:05       82.136091       0.0055       0.0000       0.0134       1.2219
Sella  32 06:30:06       82.135929       0.0048       0.0000       0.0134       1.2258
Sella  33 06:30:07       82.135788       0.0041       0.0000       0.0134       1.2110
Sella  34 06:30:08       82.135671       0.0035       0.0000       0.0134       1.1703
Sella  35 06:30:09       82.135581       0.0028       0.0000       0.0134       1.0974
Sella  36 06:30:09       82.135517       0.0023       0.0000       0.0155       0.9849
Sella  37 06:30:10       82.135319       0.0021       0.0000       0.0155       1.7405
Sella  38 06:30:11       82.135308       0.0019       0.0000       0.0155       0.3825
Sella  39 06:30:12       82.135662       0.0021       0.0000       0.0155       2.5900
Sella  40 06:30:13       82.135912       0.0021       0.0000       0.0155       2.3004
Sella  41 06:30:14       82.135748       0.0019       0.0000       0.0155       1.2745
Sella  42 06:30:15       82.135906       0.0017       0.0000       0.0155       1.2842
Sella  43 06:30:16       82.135800       0.0020       0.0000       0.0155       1.1017
Sella  44 06:30:17       82.135901       0.0018       0.0000       0.0155       1.1030
Sella  45 06:30:17       82.135836       0.0017       0.0000       0.0155       1.4089
Sella  46 06:30:18       82.135876       0.0013       0.0000       0.0155       2.1605
Sella  47 06:30:19       82.135862       0.0007       0.0000       0.0155       3.5869
Sella  48 06:30:20       82.135888       0.0005       0.0000       0.0155       1.6387
Sella  49 06:30:21       82.135862       0.0006       0.0000       0.0155       9.3363
Sella  50 06:30:22       82.135888       0.0004       0.0000       0.0155      10.4022
Sella  51 06:30:23       82.135887       0.0001       0.0000       0.0155       2.4667
Sella  52 06:30:24       82.135888       0.0001       0.0000       0.0155       4.8323
