     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:57:33       12.422258       1.1903       0.4458       1.7000       1.0000
Sella   1 04:57:36       15.028617       4.9273       0.1972       0.8692      -1.3365
Sella   2 04:57:37       12.074089       1.2361       0.0882       0.8692       0.9212
Sella   3 04:57:39       11.870102       0.8676       0.0177       0.8692       0.4689
Sella   4 04:57:40       11.343333       0.5021       0.0075       0.8692       4.1254
Sella   5 04:57:41       10.764831       0.2960       0.0136       0.8692       5.0617
Sella   6 04:57:43       10.480161       0.2731       0.0023       0.8692       5.8919
Sella   7 04:57:44       10.355452       0.1475       0.0016       0.8692       7.6916
Sella   8 04:57:45       10.333302       0.1288       0.0005       0.8692       3.2444
Sella   9 04:57:47       10.350028       0.1462       0.0012       0.0714      -2.3807
Sella  10 04:57:48       10.391719       0.0974       0.0007       0.0643      -8.7455
Sella  11 04:57:49       10.412765       0.0882       0.0006       0.0578      -3.4633
Sella  12 04:57:50       10.420931       0.0886       0.0004       0.0520      -1.4105
Sella  13 04:57:52       10.422871       0.0837       0.0003       0.0468      -0.3770
Sella  14 04:57:53       10.425606       0.0725       0.0002       0.0422      -0.6050
Sella  15 04:57:54       10.434612       0.0666       0.0002       0.0379      -2.4110
Sella  16 04:57:56       10.450395       0.0639       0.0001       0.0341      -5.2427
Sella  17 04:57:57       10.469073       0.0592       0.0001       0.0307      -7.6928
Sella  18 04:57:58       10.485595       0.0548       0.0001       0.0277      -8.3365
Sella  19 04:58:00       10.494434       0.0513       0.0001       0.0249      -5.2791
Sella  20 04:58:01       10.490492       0.0480       0.0002       0.0249       2.6777
Sella  21 04:58:02       10.473469       0.0441       0.0002       0.0249      11.8007
Sella  22 04:58:04       10.448745       0.0402       0.0002       0.0249      18.2037
Sella  23 04:58:05       10.418631       0.0369       0.0002       0.0249      24.0146
Sella  24 04:58:06       10.382677       0.0341       0.0002       0.0249      30.9677
Sella  25 04:58:08       10.341641       0.0316       0.0002       0.0249      38.0767
Sella  26 04:58:09       10.297279       0.0292       0.0002       0.0249      44.9201
Sella  27 04:58:10       10.251126       0.0269       0.0002       0.0249      51.8909
Sella  28 04:58:11       10.203618       0.0246       0.0002       0.0249      59.9170
Sella  29 04:58:13       10.154537       0.0222       0.0002       0.0249      69.5340
Sella  30 04:58:14       10.103390       0.0197       0.0002       0.0249      81.2174
Sella  31 04:58:15       10.050087       0.0170       0.0002       0.0249      95.3644
Sella  32 04:58:17        9.995000       0.0142       0.0002       0.0224     113.6024
Sella  33 04:58:18        9.944529       0.0116       0.0002       0.0202     134.0568
Sella  34 04:58:19        9.899119       0.0092       0.0002       0.0181     163.2554
Sella  35 04:58:21        9.858582       0.0071       0.0001       0.0163     203.3850
Sella  36 04:58:22        9.822543       0.0053       0.0001       0.0147     258.3654
Sella  37 04:58:23        9.790605       0.0036       0.0001       0.0132     343.0695
Sella  38 04:58:25        9.762395       0.0023       0.0001       0.0119     482.2918
Sella  39 04:58:26        9.737439       0.0014       0.0000       0.0107     802.8083
Sella  40 04:58:27        9.715501       0.0006       0.0000       0.0096    1950.6211
Sella  41 04:58:29        9.713603       0.0004       0.0000       0.0009     420.3286
Sella  42 04:58:30        9.713315       0.0003       0.0000       0.0003    3347.0515
Sella  43 04:58:31        9.713895       0.0002       0.0000       0.0002  -25873.5126
Sella  44 04:58:32        9.714316       0.0001       0.0000       0.0001  -33784.0232
Sella  45 04:58:34        9.714662       0.0001       0.0000       0.0001  -42381.6484
