     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:33:04        9.404852       1.1950       1.9254       1.6000       1.0000
Sella   1 04:33:05       16.515775       5.3508       1.1055       1.3618      -5.4222
Sella   2 04:33:07       22.175991       7.1991       0.5335       1.3618       0.3579
Sella   3 04:33:08       31.697921      36.1820       0.1050       0.7069      -2.8487
Sella   4 04:33:09       24.060852       4.8110       0.1084       0.7069       0.6669
Sella   5 04:33:09       22.247694       3.1990       0.0675       0.7069       1.1458
Sella   6 04:33:10       20.138057       2.4948       0.0846       0.7069       0.8165
Sella   7 04:33:11       18.840064       3.9311       0.0776       0.7069       0.5815
Sella   8 04:33:12       18.306553       4.1052       0.0654       0.7069       0.3535
Sella   9 04:33:13       17.785879       2.2006       0.0392       0.7069       1.2084
Sella  10 04:33:14       17.375800       0.8795       0.0352       0.7069       0.8437
Sella  11 04:33:15       17.290858       1.4081       0.0319       0.7069       1.6123
Sella  12 04:33:15       17.605156       1.0744       0.0479       0.3038      -2.4643
Sella  13 04:33:16       18.062813       0.3919       0.0530       0.2734     -17.8965
Sella  14 04:33:17       17.789238       0.1687       0.0160       0.2734       2.5218
Sella  15 04:33:18       17.906677       0.1408       0.0002       0.0309     -14.6987
Sella  16 04:33:19       17.974660       0.1024       0.0002       0.0278     -12.7409
Sella  17 04:33:20       18.006991       0.0832       0.0002       0.0250      -8.1046
Sella  18 04:33:21       18.043987       0.0668       0.0001       0.0225     -12.6427
Sella  19 04:33:22       18.078219       0.0512       0.0001       0.0202     -16.3463
Sella  20 04:33:22       18.109437       0.0362       0.0001       0.0182     -22.5264
Sella  21 04:33:23       18.135657       0.0224       0.0001       0.0164     -31.1085
Sella  22 04:33:24       18.157028       0.0125       0.0000       0.0148     -48.4290
Sella  23 04:33:25       18.174348       0.0073       0.0000       0.0133    -123.9434
Sella  24 04:33:26       18.175377       0.0070       0.0000       0.0133      10.6357
Sella  25 04:33:27       18.166895       0.0055       0.0000       0.0045     183.9872
Sella  26 04:33:28       18.158710       0.0053       0.0000       0.0035  -12537.2458
Sella  27 04:33:28       18.151572       0.0053       0.0000       0.0032     558.0625
Sella  28 04:33:29       18.145670       0.0043       0.0000       0.0029     349.5704
Sella  29 04:33:30       18.140646       0.0037       0.0000       0.0026     328.0554
Sella  30 04:33:31       18.136178       0.0025       0.0000       0.0023     351.1804
Sella  31 04:33:32       18.131991       0.0021       0.0000       0.0021     450.6697
Sella  32 04:33:33       18.127967       0.0020       0.0000       0.0019     636.1966
Sella  33 04:33:34       18.124180       0.0019       0.0000       0.0017     855.8891
Sella  34 04:33:35       18.120731       0.0018       0.0000       0.0015    1053.3670
Sella  35 04:33:35       18.117695       0.0016       0.0000       0.0014    1200.3486
Sella  36 04:33:36       18.115075       0.0013       0.0000       0.0012    1328.1023
Sella  37 04:33:37       18.112826       0.0011       0.0000       0.0011    1485.4447
Sella  38 04:33:38       18.110870       0.0008       0.0000       0.0010    1748.9470
Sella  39 04:33:39       18.109134       0.0006       0.0000       0.0009    2206.5623
Sella  40 04:33:40       18.107561       0.0004       0.0000       0.0008    3030.1220
Sella  41 04:33:41       18.106122       0.0002       0.0000       0.0007    4633.8814
Sella  42 04:33:41       18.104798       0.0001       0.0000       0.0007    8783.3420
Sella  43 04:33:42       18.103582       0.0001       0.0000       0.0006   40889.6239
