     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:33:08        9.404852       1.4245       0.5413       1.6000       1.0000
Sella   1 04:33:10       15.358342       5.3218       0.4277       1.0354      -3.5309
Sella   2 04:33:11       14.339211       3.3003       0.3089       1.0354       0.4457
Sella   3 04:33:12       15.054504      12.1056       0.1713       0.6800      -0.2349
Sella   4 04:33:13       13.062818       2.2728       0.0338       0.6800       0.4263
Sella   5 04:33:14       12.750711       0.8963       0.0234       0.6800       0.6735
Sella   6 04:33:15       12.733401       0.5040       0.0037       0.6800       0.3159
Sella   7 04:33:16       12.786964       0.3790       0.0043       0.1009      -2.0705
Sella   8 04:33:17       12.729770       0.2781       0.0011       0.1009       2.6852
Sella   9 04:33:18       12.621514       0.2439       0.0017       0.1009       2.0846
Sella  10 04:33:19       12.541411       0.2512       0.0015       0.1009       1.9905
Sella  11 04:33:20       12.470483       0.2500       0.0014       0.1009       1.7658
Sella  12 04:33:21       12.409018       0.2435       0.0013       0.1009       1.6012
Sella  13 04:33:22       12.362411       0.2341       0.0013       0.1009       1.2580
Sella  14 04:33:23       12.329353       0.2223       0.0013       0.1009       0.9489
Sella  15 04:33:24       12.312156       0.2091       0.0013       0.1009       0.5247
Sella  16 04:33:25       12.309380       0.1938       0.0013       0.1009       0.0922
Sella  17 04:33:26       12.322669       0.1774       0.0014       0.0908      -0.4826
Sella  18 04:33:27       12.349775       0.1607       0.0011       0.0818      -1.2773
Sella  19 04:33:28       12.386437       0.1449       0.0010       0.0736      -2.1356
Sella  20 04:33:29       12.428328       0.1287       0.0008       0.0662      -3.0738
Sella  21 04:33:30       12.473821       0.1140       0.0007       0.0596      -4.1810
Sella  22 04:33:31       12.520371       0.0989       0.0006       0.0536      -5.4988
Sella  23 04:33:32       12.567181       0.0857       0.0005       0.0483      -7.0462
Sella  24 04:33:33       12.612664       0.0718       0.0004       0.0435      -9.0557
Sella  25 04:33:34       12.656461       0.0605       0.0003       0.0391     -11.3306
Sella  26 04:33:34       12.697646       0.0478       0.0003       0.0352     -14.7544
Sella  27 04:33:35       12.736001       0.0390       0.0002       0.0317     -18.1929
Sella  28 04:33:36       12.771156       0.0273       0.0002       0.0285     -25.1697
Sella  29 04:33:37       12.802730       0.0221       0.0001       0.0257     -29.8087
Sella  30 04:33:38       12.830888       0.0165       0.0001       0.0231     -48.3181
Sella  31 04:33:39       12.855187       0.0136       0.0001       0.0208     -51.4462
Sella  32 04:33:40       12.875657       0.0124       0.0001       0.0187    -164.8070
Sella  33 04:33:41       12.885137       0.0088       0.0000       0.0100     145.6751
Sella  34 04:33:42       12.884620       0.0085       0.0000       0.0027      -9.1459
Sella  35 04:33:43       12.880796       0.0077       0.0000       0.0024     156.6882
Sella  36 04:33:44       12.876994       0.0068       0.0000       0.0022     157.9164
Sella  37 04:33:45       12.873661       0.0061       0.0000       0.0020     169.2215
Sella  38 04:33:46       12.870753       0.0055       0.0000       0.0018     182.5791
Sella  39 04:33:47       12.868194       0.0049       0.0000       0.0016     198.6692
Sella  40 04:33:48       12.865918       0.0044       0.0000       0.0014     218.3335
Sella  41 04:33:49       12.863885       0.0039       0.0000       0.0013     240.8385
Sella  42 04:33:49       12.862064       0.0035       0.0000       0.0012     266.0091
Sella  43 04:33:50       12.860434       0.0031       0.0000       0.0010     293.3824
Sella  44 04:33:51       12.858977       0.0028       0.0000       0.0009     322.9290
Sella  45 04:33:52       12.857678       0.0025       0.0000       0.0009     354.5066
Sella  46 04:33:53       12.856520       0.0023       0.0000       0.0008     388.1319
Sella  47 04:33:54       12.855491       0.0020       0.0000       0.0007     423.8036
Sella  48 04:33:55       12.854578       0.0018       0.0000       0.0006     461.5961
Sella  49 04:33:56       12.853767       0.0016       0.0000       0.0006     501.4849
Sella  50 04:33:57       12.853050       0.0015       0.0000       0.0005     543.5130
