     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:46:23       31.391244       3.1292       0.0102       1.7000       1.0000
Sella   1 04:46:25       42.922035       3.5668       0.3279       0.7983      -3.5001
Sella   2 04:46:26       35.938592       0.6097       0.0778       0.7983       3.3295
Sella   3 04:46:27       33.956882       0.4629       0.0142       0.7983      18.4905
Sella   4 04:46:28       34.238307       0.2881       0.0037       0.0919      -3.2007
Sella   5 04:46:29       33.888276       0.2339       0.0007       0.0919      13.5868
Sella   6 04:46:30       33.175439       0.2050       0.0009       0.0919      21.8907
Sella   7 04:46:31       32.244537       0.1533       0.0009       0.0919      30.9580
Sella   8 04:46:32       31.493889       0.1208       0.0009       0.0919      30.3482
Sella   9 04:46:33       30.612403       0.1074       0.0009       0.0919      43.5148
Sella  10 04:46:34       29.885573       0.0935       0.0009       0.0919      52.7275
Sella  11 04:46:35       29.159916       0.0750       0.0009       0.0919      65.3857
Sella  12 04:46:36       28.554103       0.0759       0.0009       0.0919      69.3400
Sella  13 04:46:37       28.087555       0.1263       0.0010       0.0919      51.7298
Sella  14 04:46:38       27.597616       0.3032       0.0010       0.0919      35.6457
Sella  15 04:46:39       27.291565       0.8245       0.0017       0.0919       7.4437
Sella  16 04:46:40       27.022611       1.4383       0.0026       0.0919       2.3041
Sella  17 04:46:41       26.812416       1.3905       0.0026       0.0919       1.1498
Sella  18 04:46:41       26.639009       0.3287       0.0022       0.0919       1.2033
Sella  19 04:46:42       26.313750       0.3121       0.0014       0.0919      11.1326
Sella  20 04:46:43       25.687519       0.1576       0.0008       0.0919      50.0826
Sella  21 04:46:44       24.868915       0.0903       0.0011       0.0919      72.4626
Sella  22 04:46:45       24.282861       0.0866       0.0009       0.0799     117.0722
Sella  23 04:46:46       24.056880       0.1133       0.0006       0.0620    4662.3766
Sella  24 04:46:47       24.044426       0.0885       0.0005       0.0620       2.7198
Sella  25 04:46:48       24.111426       0.0724       0.0006       0.0558     -13.0300
Sella  26 04:46:49       24.132422       0.0423       0.0004       0.0502      -4.8137
Sella  27 04:46:50       24.150671       0.0497       0.0003       0.0452      -5.4531
Sella  28 04:46:51       24.175523       0.0436       0.0002       0.0407      -8.4290
Sella  29 04:46:52       24.207846       0.0408       0.0002       0.0366     -12.7649
Sella  30 04:46:53       24.248715       0.0329       0.0001       0.0330     -19.3175
Sella  31 04:46:54       24.286330       0.0259       0.0001       0.0297     -22.1434
Sella  32 04:46:54       24.321986       0.0191       0.0001       0.0267     -26.5614
Sella  33 04:46:55       24.349960       0.0195       0.0001       0.0240     -26.4928
Sella  34 04:46:56       24.372132       0.0204       0.0001       0.0216     -26.4143
Sella  35 04:46:57       24.385433       0.0211       0.0000       0.0195     -19.5640
Sella  36 04:46:58       24.391147       0.0204       0.0000       0.0175     -10.1022
Sella  37 04:46:59       24.388024       0.0187       0.0000       0.0175       6.3817
Sella  38 04:47:00       24.377695       0.0162       0.0000       0.0175      22.3346
Sella  39 04:47:01       24.361174       0.0140       0.0000       0.0175      37.1755
Sella  40 04:47:02       24.342007       0.0122       0.0000       0.0175      46.3724
Sella  41 04:47:03       24.322211       0.0111       0.0000       0.0175      51.4596
Sella  42 04:47:04       24.303787       0.0100       0.0000       0.0175      52.6323
Sella  43 04:47:05       24.286656       0.0093       0.0000       0.0175      53.3109
Sella  44 04:47:06       24.271305       0.0083       0.0000       0.0175      53.3992
Sella  45 04:47:07       24.256691       0.0076       0.0000       0.0175      56.3048
Sella  46 04:47:08       24.243073       0.0066       0.0000       0.0175      60.2988
Sella  47 04:47:09       24.229178       0.0058       0.0000       0.0175      69.6583
Sella  48 04:47:10       24.215657       0.0048       0.0000       0.0175      81.7799
Sella  49 04:47:11       24.201198       0.0041       0.0000       0.0158     102.0220
Sella  50 04:47:12       24.188587       0.0030       0.0000       0.0142     117.3418
Sella  51 04:47:13       24.176373       0.0028       0.0000       0.0128     145.4734
Sella  52 04:47:13       24.166365       0.0035       0.0000       0.0115     196.2615
Sella  53 04:47:14       24.156725       0.0037       0.0000       0.0103     229.5860
Sella  54 04:47:15       24.149657       0.0038       0.0000       0.0093     386.8262
Sella  55 04:47:16       24.142695       0.0034       0.0000       0.0084     415.3849
Sella  56 04:47:17       24.141062       0.0015       0.0000       0.0038     127.1321
Sella  57 04:47:18       24.141420       0.0011       0.0000       0.0004     -83.1756
Sella  58 04:47:19       24.142396       0.0011       0.0000       0.0003   -1152.9505
Sella  59 04:47:20       24.143420       0.0011       0.0000       0.0003   -1377.0131
Sella  60 04:47:21       24.144393       0.0011       0.0000       0.0003   -1492.6969
Sella  61 04:47:22       24.145309       0.0011       0.0000       0.0002   -1564.1660
Sella  62 04:47:23       24.146156       0.0011       0.0000       0.0002   -1603.6347
Sella  63 04:47:24       24.146930       0.0011       0.0000       0.0002   -1625.6202
Sella  64 04:47:25       24.147634       0.0011       0.0000       0.0002   -1639.3965
Sella  65 04:47:26       24.148271       0.0011       0.0000       0.0002   -1648.8599
Sella  66 04:47:27       24.148849       0.0011       0.0000       0.0001   -1655.5680
Sella  67 04:47:28       24.149370       0.0011       0.0000       0.0001   -1660.5106
Sella  68 04:47:29       24.149841       0.0011       0.0000       0.0001   -1664.4557
Sella  69 04:47:30       24.150267       0.0011       0.0000       0.0001   -1667.2297
Sella  70 04:47:31       24.150650       0.0011       0.0000       0.0001   -1669.1843
Sella  71 04:47:32       24.151012       0.0011       0.0000       0.0001   -1664.8001
Sella  72 04:47:33       24.151374       0.0011       0.0000       0.0001   -1659.7214
Sella  73 04:47:34       24.151737       0.0011       0.0000       0.0001   -1662.1778
Sella  74 04:47:35       24.152100       0.0011       0.0000       0.0001   -1664.9172
Sella  75 04:47:36       24.152464       0.0011       0.0000       0.0001   -1666.9224
Sella  76 04:47:37       24.152828       0.0011       0.0000       0.0001   -1669.0859
Sella  77 04:47:38       24.153193       0.0011       0.0000       0.0001   -1670.9382
Sella  78 04:47:39       24.153558       0.0011       0.0000       0.0001   -1672.8174
Sella  79 04:47:40       24.153924       0.0011       0.0000       0.0001   -1674.3758
Sella  80 04:47:41       24.154289       0.0011       0.0000       0.0001   -1675.7861
Sella  81 04:47:42       24.154655       0.0011       0.0000       0.0001   -1676.9462
Sella  82 04:47:43       24.155022       0.0011       0.0000       0.0001   -1678.2608
Sella  83 04:47:44       24.155388       0.0011       0.0000       0.0001   -1679.3738
Sella  84 04:47:45       24.155755       0.0011       0.0000       0.0001   -1680.3367
Sella  85 04:47:46       24.156122       0.0011       0.0000       0.0001   -1681.5182
Sella  86 04:47:47       24.156489       0.0011       0.0000       0.0001   -1682.2364
Sella  87 04:47:48       24.156856       0.0011       0.0000       0.0001   -1683.3058
Sella  88 04:47:48       24.157224       0.0011       0.0000       0.0001   -1683.7841
Sella  89 04:47:49       24.157592       0.0011       0.0000       0.0001   -1684.2965
Sella  90 04:47:50       24.157959       0.0011       0.0000       0.0001   -1685.1689
Sella  91 04:47:51       24.158327       0.0011       0.0000       0.0001   -1685.5970
Sella  92 04:47:52       24.158695       0.0011       0.0000       0.0001   -1686.1622
Sella  93 04:47:53       24.159063       0.0011       0.0000       0.0001   -1686.7942
Sella  94 04:47:54       24.159432       0.0011       0.0000       0.0001   -1686.8863
Sella  95 04:47:55       24.159800       0.0011       0.0000       0.0001   -1687.6129
Sella  96 04:47:56       24.160169       0.0011       0.0000       0.0001   -1687.8864
Sella  97 04:47:57       24.160537       0.0011       0.0000       0.0001   -1688.1876
Sella  98 04:47:58       24.160906       0.0011       0.0000       0.0001   -1688.4725
Sella  99 04:47:59       24.161274       0.0011       0.0000       0.0001   -1688.8108
Sella 100 04:47:59       24.161643       0.0011       0.0000       0.0001   -1688.9479
