     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 04:49:18        8.667512       1.0881       0.2267       1.7000       1.0000
Sella   1 04:49:20       11.251748       4.1767       0.2269       0.8085      -1.2654
Sella   2 04:49:21        8.053897       0.8031       0.1326       0.8085       0.8015
Sella   3 04:49:22        7.978599       0.6181       0.0055       0.8085       0.1668
Sella   4 04:49:23        7.897745       0.4071       0.0019       0.8085       2.3776
Sella   5 04:49:24        7.764346       0.2057       0.0106       0.8085       1.7674
Sella   6 04:49:25        7.771937       0.2181       0.0008       0.0577      -0.2457
Sella   7 04:49:26        7.845553       0.1713       0.0010       0.0477     -11.0976
Sella   8 04:49:26        7.949778       0.1350       0.0012       0.0430     -13.6374
Sella   9 04:49:27        8.050753       0.1197       0.0009       0.0387     -18.7754
Sella  10 04:49:28        8.148293       0.1055       0.0007       0.0348     -26.1743
Sella  11 04:49:29        8.236902       0.0863       0.0006       0.0313     -28.7653
Sella  12 04:49:30        8.311516       0.0635       0.0004       0.0282     -28.8831
Sella  13 04:49:31        8.377632       0.0432       0.0003       0.0254     -37.9256
Sella  14 04:49:32        8.439579       0.0275       0.0003       0.0228     -59.6672
Sella  15 04:49:33        8.495048       0.0227       0.0002       0.0205     -85.0330
Sella  16 04:49:34        8.540382       0.0216       0.0002       0.0185     -89.3660
Sella  17 04:49:34        8.570475       0.0238       0.0001       0.0166     -57.7743
Sella  18 04:49:35        8.585121       0.0221       0.0000       0.0150     -25.6165
Sella  19 04:49:36        8.593334       0.0198       0.0000       0.0135     -14.6534
Sella  20 04:49:37        8.599001       0.0200       0.0000       0.0121     -10.6381
Sella  21 04:49:38        8.603437       0.0198       0.0000       0.0109      -8.9213
Sella  22 04:49:39        8.606954       0.0193       0.0000       0.0098      -7.9112
Sella  23 04:49:40        8.609622       0.0188       0.0000       0.0088      -6.7598
Sella  24 04:49:40        8.611739       0.0183       0.0000       0.0080      -6.0109
Sella  25 04:49:41        8.613755       0.0179       0.0000       0.0072      -6.4032
Sella  26 04:49:42        8.615911       0.0177       0.0000       0.0064      -7.6889
Sella  27 04:49:43        8.618206       0.0175       0.0000       0.0058      -9.1805
Sella  28 04:49:44        8.620555       0.0173       0.0000       0.0052     -10.5296
Sella  29 04:49:45        8.622884       0.0172       0.0000       0.0047     -11.6711
Sella  30 04:49:46        8.625143       0.0171       0.0000       0.0042     -12.6357
Sella  31 04:49:47        8.627305       0.0171       0.0000       0.0038     -13.4684
Sella  32 04:49:47        8.629351       0.0171       0.0000       0.0034     -14.1991
Sella  33 04:49:48        8.631273       0.0171       0.0000       0.0031     -14.8380
Sella  34 04:49:49        8.633064       0.0171       0.0000       0.0028     -15.3805
Sella  35 04:49:50        8.634720       0.0171       0.0000       0.0025     -15.8270
Sella  36 04:49:51        8.636241       0.0171       0.0000       0.0022     -16.1878
Sella  37 04:49:52        8.637634       0.0171       0.0000       0.0020     -16.4793
Sella  38 04:49:53        8.638903       0.0171       0.0000       0.0018     -16.7179
Sella  39 04:49:54        8.640058       0.0171       0.0000       0.0016     -16.9168
Sella  40 04:49:55        8.641106       0.0171       0.0000       0.0015     -17.0855
Sella  41 04:49:55        8.642057       0.0171       0.0000       0.0013     -17.2308
Sella  42 04:49:56        8.642918       0.0171       0.0000       0.0012     -17.3572
Sella  43 04:49:57        8.643698       0.0171       0.0000       0.0011     -17.4679
Sella  44 04:49:58        8.644403       0.0171       0.0000       0.0010     -17.5650
Sella  45 04:49:59        8.645040       0.0171       0.0000       0.0009     -17.6515
Sella  46 04:50:00        8.645615       0.0171       0.0000       0.0008     -17.7282
Sella  47 04:50:00        8.646135       0.0171       0.0000       0.0007     -17.7962
Sella  48 04:50:01        8.646604       0.0172       0.0000       0.0006     -17.8564
Sella  49 04:50:02        8.647027       0.0172       0.0000       0.0006     -17.9104
Sella  50 04:50:03        8.647409       0.0172       0.0000       0.0005     -17.9587
Sella  51 04:50:04        8.647754       0.0172       0.0000       0.0005     -18.0019
Sella  52 04:50:05        8.648064       0.0172       0.0000       0.0004     -18.0405
Sella  53 04:50:06        8.648344       0.0172       0.0000       0.0004     -18.0749
Sella  54 04:50:07        8.648596       0.0172       0.0000       0.0003     -18.1056
Sella  55 04:50:08        8.648824       0.0172       0.0000       0.0003     -18.1335
Sella  56 04:50:08        8.649029       0.0172       0.0000       0.0003     -18.1581
Sella  57 04:50:09        8.649213       0.0172       0.0000       0.0002     -18.1805
