     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 07:28:33       11.163974       1.0682       0.2674       1.7000       1.0000
Sella   1 07:28:35       12.218705       4.2902       0.1821       0.7828      -0.5720
Sella   2 07:28:36        9.979297       0.8391       0.0776       0.7828       0.6848
Sella   3 07:28:37       10.240560       0.3904       0.0033       0.7828       4.3182
Sella   4 07:28:38       10.276749       0.2255       0.0009       0.0660      -2.5587
Sella   5 07:28:39       10.330685       0.1644       0.0006       0.0594      -3.1903
Sella   6 07:28:40       10.415369       0.1231       0.0006       0.0534      -7.3132
Sella   7 07:28:41       10.505642       0.0886       0.0006       0.0481     -12.4724
Sella   8 07:28:42       10.601313       0.0566       0.0007       0.0433     -23.8523
Sella   9 07:28:43       10.697699       0.0555       0.0006       0.0389     -52.6833
Sella  10 07:28:44       10.783294       0.0526       0.0004       0.0351     -35.4738
Sella  11 07:28:45       10.850052       0.0329       0.0002       0.0315     -25.9330
Sella  12 07:28:46       10.916034       0.0310       0.0002       0.0284     -39.8356
Sella  13 07:28:47       10.972961       0.0268       0.0001       0.0256     -44.0008
Sella  14 07:28:48       11.015174       0.0247       0.0001       0.0230     -39.0528
Sella  15 07:28:49       11.043820       0.0221       0.0001       0.0207     -35.8128
Sella  16 07:28:50       11.063746       0.0181       0.0001       0.0186     -40.0904
Sella  17 07:28:51       11.057290       0.0121       0.0000       0.0186      21.2189
Sella  18 07:28:52       11.058055       0.0102       0.0000       0.0168      -4.8502
Sella  19 07:28:53       11.021588       0.0140       0.0001       0.0151    1110.8351
Sella  20 07:28:54       11.025871       0.0094       0.0000       0.0066     -89.0362
Sella  21 07:28:55       11.021454       0.0087       0.0000       0.0059     173.9272
Sella  22 07:28:56       11.017682       0.0075       0.0000       0.0032     260.1274
Sella  23 07:28:57       11.013077       0.0040       0.0000       0.0029     280.8770
Sella  24 07:28:58       11.007529       0.0040       0.0000       0.0026     461.9935
Sella  25 07:28:59       11.002027       0.0036       0.0000       0.0023     791.7519
Sella  26 07:29:00       10.996947       0.0024       0.0000       0.0021     905.5628
Sella  27 07:29:01       10.992635       0.0009       0.0000       0.0019    1263.5398
Sella  28 07:29:01       10.988703       0.0008       0.0000       0.0017    5658.7596
Sella  29 07:29:02       10.987563       0.0008       0.0000       0.0006   -1142.2999
Sella  30 07:29:03       10.986782       0.0008       0.0000       0.0005    1720.2497
Sella  31 07:29:04       10.986420       0.0007       0.0000       0.0005     557.1716
Sella  32 07:29:06       10.986246       0.0007       0.0000       0.0004     278.3503
Sella  33 07:29:07       10.986186       0.0007       0.0000       0.0004     107.7838
Sella  34 07:29:07       10.986179       0.0007       0.0000       0.0004      13.8994
Sella  35 07:29:08       10.986203       0.0007       0.0000       0.0003     -46.1286
Sella  36 07:29:09       10.986241       0.0007       0.0000       0.0003     -82.9975
Sella  37 07:29:10       10.986283       0.0007       0.0000       0.0003    -101.8154
Sella  38 07:29:11       10.986319       0.0007       0.0000       0.0002     -99.0397
Sella  39 07:29:12       10.986349       0.0007       0.0000       0.0002     -90.5810
Sella  40 07:29:13       10.986371       0.0007       0.0000       0.0002     -76.9616
Sella  41 07:29:14       10.986387       0.0007       0.0000       0.0002     -58.9749
Sella  42 07:29:15       10.986397       0.0007       0.0000       0.0002     -43.6030
Sella  43 07:29:16       10.986405       0.0007       0.0000       0.0001     -34.3234
Sella  44 07:29:17       10.986409       0.0007       0.0000       0.0001     -23.5592
Sella  45 07:29:18       10.986412       0.0007       0.0000       0.0001     -16.3381
Sella  46 07:29:19       10.986414       0.0007       0.0000       0.0001     -10.8362
Sella  47 07:29:20       10.986415       0.0007       0.0000       0.0001      -4.3953
Sella  48 07:29:21       10.986415       0.0007       0.0000       0.0001       0.1149
Sella  49 07:29:22       10.986414       0.0007       0.0000       0.0001       3.7684
Sella  50 07:29:23       10.986413       0.0007       0.0000       0.0001       7.6370
Sella  51 07:29:24       10.986412       0.0007       0.0000       0.0001      10.2151
Sella  52 07:29:25       10.986409       0.0007       0.0000       0.0001      16.6129
Sella  53 07:29:26       10.986407       0.0007       0.0000       0.0001      21.7303
Sella  54 07:29:27       10.986403       0.0007       0.0000       0.0001      25.4017
Sella  55 07:29:28       10.986399       0.0007       0.0000       0.0001      32.0437
Sella  56 07:29:29       10.986394       0.0007       0.0000       0.0001      35.4770
Sella  57 07:29:30       10.986389       0.0007       0.0000       0.0001      38.3231
Sella  58 07:29:31       10.986384       0.0007       0.0000       0.0001      43.2109
Sella  59 07:29:32       10.986377       0.0007       0.0000       0.0001      48.2612
Sella  60 07:29:33       10.986370       0.0007       0.0000       0.0001      51.6453
Sella  61 07:29:34       10.986363       0.0007       0.0000       0.0001      55.7687
Sella  62 07:29:35       10.986355       0.0007       0.0000       0.0001      59.2281
Sella  63 07:29:36       10.986347       0.0007       0.0000       0.0001      63.9678
