     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 05:39:18       44.970735       1.0487       0.9241       1.1000       1.0000
Sella   1 05:39:20       42.026261       5.8843       0.4570       1.1000       3.7803
Sella   2 05:39:21       45.913897       1.9575       0.0865       0.5261      -0.8633
Sella   3 05:39:22       45.363292       1.1916       0.0168       0.5261       1.4790
Sella   4 05:39:23       45.076639       0.6723       0.0691       0.5261       0.5224
Sella   5 05:39:24       44.927041       0.3926       0.0069       0.5261       0.4372
Sella   6 05:39:25       44.921661       0.4718       0.0189       0.5261       1.0319
Sella   7 05:39:26       44.954578       0.4555       0.0312       0.5261       1.2372
Sella   8 05:39:27       44.820752       0.3678       0.0012       0.5261       0.8888
Sella   9 05:39:27       44.808840       0.2376       0.0051       0.5261       2.1376
Sella  10 05:39:28       44.779933       0.1941       0.0020       0.5261       1.1723
Sella  11 05:39:29       44.765044       0.1541       0.0007       0.5261       1.1675
Sella  12 05:39:30       44.749953       0.1570       0.0015       0.5261       1.3748
Sella  13 05:39:31       44.759887       0.1516       0.0050       0.5261       0.7485
Sella  14 05:39:32       44.742861       0.1158       0.0015       0.5261       0.9852
Sella  15 05:39:33       44.740033       0.0998       0.0047       0.0843      -0.5623
Sella  16 05:39:34       44.730381       0.0909       0.0008       0.0843       0.6001
Sella  17 05:39:35       44.727669       0.0711       0.0003       0.0843       0.8712
Sella  18 05:39:35       44.726946       0.0578       0.0001       0.0843       0.9527
Sella  19 05:39:36       44.726510       0.0510       0.0000       0.0843       1.2401
Sella  20 05:39:37       44.726275       0.0310       0.0003       0.0262      -3.0065
Sella  21 05:39:38       44.725558       0.0173       0.0001       0.0262       1.0511
Sella  22 05:39:39       44.725215       0.0127       0.0000       0.0262       0.9973
Sella  23 05:39:40       44.725094       0.0085       0.0000       0.0262       0.8564
Sella  24 05:39:41       44.725077       0.0044       0.0000       0.0262       0.8660
Sella  25 05:39:42       44.725073       0.0025       0.0000       0.0262       8.7832
Sella  26 05:39:43       44.725073       0.0014       0.0000       0.0014      -0.4625
Sella  27 05:39:43       44.725072       0.0012       0.0000       0.0014       0.0827
Sella  28 05:39:44       44.725072       0.0010       0.0000       0.0014       0.8955
Sella  29 05:39:45       44.725071       0.0007       0.0000       0.0014       0.8966
Sella  30 05:39:46       44.725071       0.0006       0.0000       0.0014       0.9906
Sella  31 05:39:47       44.725071       0.0004       0.0000       0.0014       0.7658
Sella  32 05:39:48       44.725071       0.0002       0.0000       0.0014       0.8079
Sella  33 05:39:49       44.725071       0.0002       0.0000       0.0014       0.9106
Sella  34 05:39:50       44.725071       0.0002       0.0000       0.0014       2.9310
Sella  35 05:39:51       44.725071       0.0002       0.0000       0.0001      -2.3768
Sella  36 05:39:51       44.725071       0.0001       0.0000       0.0001       1.3620
