     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 05:39:13       44.970735       1.0487       0.5005       1.1000       1.0000
Sella   1 05:39:16       44.418441       5.9681       0.3458       1.1000       0.5502
Sella   2 05:39:17       45.325287       1.1885       0.0997       0.5049      -0.2329
Sella   3 05:39:18       44.903732       0.8330       0.0200       0.5049       0.8154
Sella   4 05:39:19       44.887745       0.4207       0.0109       0.5049       0.1271
Sella   5 05:39:19       44.838403       0.2420       0.0281       0.5049       6.2970
Sella   6 05:39:20       44.814230       0.3554       0.0229       0.5049       0.4948
Sella   7 05:39:21       44.739270       0.2068       0.0011       0.5049       0.6687
Sella   8 05:39:22       44.754913       0.1354       0.0064       0.5049       1.1478
Sella   9 05:39:23       44.734564       0.1497       0.0008       0.5049       0.7976
Sella  10 05:39:24       44.747111       0.1466       0.0101       0.5049       0.5063
Sella  11 05:39:25       44.726290       0.1569       0.0081       0.5049       1.0115
Sella  12 05:39:26       44.708194       0.1197       0.0002       0.5049       0.6244
Sella  13 05:39:27       44.703471       0.0744       0.0008       0.5049       1.8597
Sella  14 05:39:28       44.705593       0.0304       0.0009       0.0364      -2.7498
Sella  15 05:39:29       44.701700       0.0313       0.0000       0.0364       1.0445
Sella  16 05:39:30       44.701570       0.0289       0.0006       0.0328      -0.1587
Sella  17 05:39:31       44.700394       0.0199       0.0002       0.0328       0.6934
Sella  18 05:39:32       44.700157       0.0117       0.0000       0.0328       0.5241
Sella  19 05:39:33       44.700129       0.0098       0.0000       0.0328       0.5112
Sella  20 05:39:34       44.700126       0.0085       0.0000       0.0328       0.8088
Sella  21 05:39:35       44.700123       0.0064       0.0000       0.0031      -0.5656
Sella  22 05:39:36       44.700111       0.0046       0.0000       0.0031       1.0764
Sella  23 05:39:37       44.700105       0.0033       0.0000       0.0031       1.3225
Sella  24 05:39:38       44.700094       0.0023       0.0000       0.0031       0.9899
Sella  25 05:39:38       44.700091       0.0015       0.0000       0.0031       1.1046
Sella  26 05:39:39       44.700090       0.0009       0.0000       0.0031       1.1843
Sella  27 05:39:40       44.700090       0.0006       0.0000       0.0031       1.5994
Sella  28 05:39:41       44.700090       0.0004       0.0000       0.0031       0.3180
Sella  29 05:39:42       44.700089       0.0003       0.0000       0.0031       1.2313
Sella  30 05:39:43       44.700089       0.0003       0.0000       0.0031       1.0996
Sella  31 05:39:45       44.700089       0.0002       0.0000       0.0031       0.8983
Sella  32 05:39:46       44.700089       0.0001       0.0000       0.0031       0.9657
Sella  33 05:39:47       44.700089       0.0001       0.0000       0.0001      -0.0000
